INFO 2025-04-21 23:54:55,236 basehttp 7 281472864940448 "GET /admin/ HTTP/1.1" 200 13871
INFO 2025-04-21 23:54:55,687 basehttp 7 281472854454688 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-04-21 23:54:55,688 basehttp 7 281472864940448 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-04-21 23:54:55,693 basehttp 7 281472843968928 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-04-21 23:54:55,696 basehttp 7 281472760082848 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-04-21 23:54:55,697 basehttp 7 281472864940448 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-04-21 23:54:55,699 basehttp 7 281472739111328 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-04-21 23:54:55,699 basehttp 7 281472749597088 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-04-21 23:54:55,778 basehttp 7 281472739111328 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:54:55,778 basehttp 7 281472749597088 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,384 basehttp 7 281472760082848 "GET /admin/auth/group/ HTTP/1.1" 200 13307
INFO 2025-04-21 23:55:03,408 basehttp 7 281472843968928 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,411 basehttp 7 281472843968928 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,414 basehttp 7 281472864940448 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,414 basehttp 7 281472843968928 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,417 basehttp 7 281472854454688 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-04-21 23:55:03,419 basehttp 7 281472843968928 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
